"","_id","iid","sv","sd","vtyp","sno","sna","sip","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","nbcnt","bemp","act"
"363","363","810","1","20150702115939","1","1177","樹林大安活動中心","","36","0","樹林區","20151012003916","24.986391","121.414770","備前街/復興路372巷口","Shulin Dist.","Shulin Da'an Activity Center","Beiqian St./Ln. 372, Fuxing Rd.","0","0","0"
"364","364","811","1","20150702120032","1","1178","三民中山一路口","","36","0","蘆洲區","20151012003932","25.082229","121.476004","三民路8號前","Luzhou Dist.","Sanmin & Zhongshan 1st Rd. Intersection","No.8, Sanmin Rd.","0","0","0"
"365","365","812","1","20150702120121","1","1179","義學國小","","34","0","泰山區","20151012003918","25.051762","121.431669","民生路33號對面人行道","Taishan Dist.","Yixue Elementary School","No.33, Minsheng Rd. (opposite)","0","0","0"
"366","366","814","1","20150708180536","1","1181","板林溪北路口","","46","0","板橋區","20151012003915","24.990555","121.426350","板林路/溪北路","Banqiao Dist.","Banlin & Xibei Intersection","Banlin Rd./Xibei Rd.","0","0","0"
"367","367","815","1","20150708180641","1","1182","新北市藝文中心","","42","0","板橋區","20151012003919","25.026542","121.472279","莊敬路/文化路2段182巷","Banqiao Dist.","New Taipei City Art Center","Zhuangjing Rd./Ln. 182, Sec. 2, Wenhua Rd.","0","0","0"
"368","368","816","1","20150708180731","1","1183","大安中央路口","","32","0","土城區","20151012003928","24.965619","121.432610","大安路/中央路三段","Tucheng Dist.","Da'an & Zhongyang Intersection","Da’an Rd./Sec. 3, Zhongyang Rd.","0","0","0"
"369","369","817","1","20150708180858","1","1184","中和地政事務所","","28","0","中和區","20151012003922","24.990393","121.502397","復興路280號","Zhonghe Dist.","Zhonghe Land Office","No.280, Fuxing Rd.","0","0","0"
"370","370","819","1","20150715085921","1","1186","同興公園","","34","0","泰山區","20151012003912","25.055188","121.432128","仁義路15號對面","Taishan Dist.","Tongxing Park","No.15, Renyi Rd. (opposite)","0","0","0"
"371","371","820","1","20150715090439","1","1187","新五泰國民運動中心","","30","0","泰山區","20151012003936","25.055865","121.434262","全興路214號對面","Taishan Dist.","Xinwutai  Civil Sports Center","No.214, Quanxing Rd. (opposite)","0","0","0"
"372","372","821","1","20150715090643","1","1188","溪洲公園停車場","","36","0","板橋區","20151012003941","24.986723","121.426820","溪崑二街145號","Banqiao Dist.","Xizhou Park","No.145, Xikun 2nd St.","0","0","0"
"373","373","822","1","20150715091153","1","1189","崑崙公園","","38","0","板橋區","20151012003918","24.993406","121.429636","大觀路三段212巷70號對面","Banqiao Dist.","Kunlun Park","No.70, Aly. 212, Sec. 3, Daguan Rd. (opposite)","0","0","0"
"374","374","823","1","20150727085008","1","1190","捷運海山站(3號出口)","","40","0","土城區","20151012003931","24.986923","121.449335","土城區海山路46號對面機車格位","Tucheng Dist.","MRT Haishan Sta.(Exit 3)","No.46, Haishan Rd. (opposite)","0","0","0"
"375","375","824","1","20150727085142","1","1191","興化公園","","38","0","新莊區","20151012003929","25.065234","121.461115","五工二路/五工三路50巷","Xinzhuang Dist.","Xinhua Park","Wugong 2nd Rd./Ln. 50, Wugong 3rd Rd.","0","0","0"
"376","376","825","1","20150727085300","1","1192","潤泰社區","","36","0","板橋區","20151012003916","25.017953","121.479375","板橋區三民路二段35巷口","Banqiao Dist.","Runtai Community","Ln. 35, Sec. 2, Sanmin Rd.","0","0","0"
"377","377","828","1","20150727085829","1","1195","板橋國中","","54","0","板橋區","20151012003941","25.024903","121.454310","中正路441號前人行道","Banqiao Dist.","Banqiao Junior High School","No.441, Zhongzheng Rd.","0","0","0"
"378","378","829","1","20150727085922","1","1196","永豐公園活動中心","","32","0","板橋區","20151012003935","25.021127","121.476853","板橋區永豐街221號","Banqiao Dist.","Yongfeng  Park Activity Center","No.221, Yongfeng St.","0","0","0"
"379","379","831","1","20150727195037","1","1198","鶯歌國中","","34","0","鶯歌區","20151012003916","24.951734","121.342963","建國路420號對面人行道","Yingge Dist.","Yingge Junior High School","No.420, Jianguo Rd.(opposite)","0","0","0"
"380","380","832","1","20150727195147","1","1199","捷運迴龍站(3號出口)","","60","0","新莊區","20151012003917","25.022760","121.413053","中正路/中正路746巷","Xinzhuang Dist.","MRT Huilong Sta.(Exit 3)","Zhongzheng Rd./Ln. 746, Zhongzheng Rd.","0","0","0"
"381","381","834","1","20150727195344","1","1201","鶯歌火車站(仁愛路)","","58","0","鶯歌區","20151012003930","24.955591","121.354376","仁愛路55號對側人行道","Yingge Dist.","Yingge Railway Station(Ren’ai  Rd.)","No.55, Ren’ai Rd., Yingge Dist.(opposite)","0","0","0"
"382","382","835","1","20150804090116","1","1202","建國育英路口","","50","0","鶯歌區","20151012003914","24.952761","121.347193","鶯歌區建國路/育英街口機車停車場內","Yingge Dist.","Chienkuo & Yuying Intersection","Jianguo Rd./Yuying St.","0","0","0"
"383","383","836","1","20150804090233","1","1203","鶯歌陶瓷老街","","44","0","鶯歌區","20151012003928","24.952226","121.351035","鶯歌區尖山埔路/國慶街(停車場內)","Yingge Dist.","Yingge ceramics old street","Jianshanpu Rd./Guoqing St.","0","0","0"
"384","384","837","1","20150804090442","1","1204","立泰里(中環路二段)","","40","0","新莊區","20151012003936","25.045676","121.442133","新莊區中環路二段423號(對面橋下)","Xinzhuang Dist.","Litai Village(Zhonghuan Rd. Sec. 2)","No.423, Sec. 2, Zhonghuan Rd.(opposite)","0","0","0"
"385","385","839","1","20150804090832","1","1206","新北市立鶯歌陶瓷博物館 ","","40","0","鶯歌區","20151012003931","24.949549","121.352832","鶯歌區文化路407號","Yingge Dist.","New Taipei City Yingge Ceramics  Museum","No.407, Wenhua Rd.","0","0","0"
"386","386","841","1","20150804091057","1","1208","尖山公園","","44","0","鶯歌區","20151012003940","24.948220","121.345767","鶯歌區尖山路161號對面","Yingge Dist.","Jianshan Park","No.161, Jianshan Rd.(opposite)","0","0","0"
"387","387","847","1","20150812113824","1","1210","樹林區衛生所","","38","0","樹林區","20151012003922","24.983768","121.415032","新北市樹林區中山路二段80-1號對面機車停車格","Shulin Dist.","Shulin District Public Health Center","No.80-1, Sec. 2, Zhongshan Rd.(opposite)","0","0","0"
